"Add header logo?","Ajouter une image en dessus?"
"Yes, for Pick Lists and Packing Sheets","Oui, pour les Pick Listes et les Packing Sheets"
"Yes, for Pick Lists only","Que pour les Pick Listes"
"Yes","Oui"
"No","Non"
"Default","Defaut"
"Shifter Theme (to over-print pre-printed forms)","Theme Shifter (Pour supprimer les papiers pre-imprime)"
"Hide products from other suppliers","Cache les produits des autres"
"Grey out products from other suppliers","Mettres les produits des autres, en gris"
"Pick Lists only","Que pour les Pick Listes"
"All, Pick Lists and Packing Sheets","Tous, les Pick Lists et les Packing Sheet"
"Put in separate column","Mettres dans un colonne separe"
"Add on right of SKU","Au droit du SKU"
"Split PDFs by supplier","Divider les produits par d'accord au aupplier"
"Simple product name","Le nom du produit simple"
"Configurable product name","Le nom du produit configurable"
